"stage","date","commit","revert_to","branch","title","what_changed","key_result","tests","status"
"baseline","2026-08-22","e88f1c9","-","main","Codex initial build","First implementation: gateway, detectors, allocator, conformal, ledger, console, eval.","Reported allocator beating fixed_rate at 40% only; ties elsewhere. Numbers later found unsound.","9 pass","superseded"
"A","2026-08-23","f5dd8d6","aca65ca","main","Phase A implementation audit","Audit of e88f1c9 written to audits/. No code changed.","Three fatal findings: eval never called the allocator; corpus circular (10 distinct responses, no-context implied harm at p=1.0); conformal bound violated on finops-agent at 0.298 vs alpha 0.20.","9 pass","done"
"B","2026-08-23","feb2b01","e88f1c9","main","Rebuild the corpus","Compositional generation replacing 10 templates. Evidence drawn independently of the label; loud and quiet realisations per harm family; clean decoys.","552 distinct responses over 3000 rows. Structural leak closed: harm rate 0.164 grounded vs 0.174 unverifiable. Calibrated AUC 1.000 -> 0.81-0.90.","pass","done"
"B","2026-08-23","6b537db","feb2b01","main","Fix the conformal fit","Split calibration into disjoint fitting (35%) and threshold-selection (65%) folds. alpha 0.20 -> 0.10.","Bound now holds on held-out data on all three routes: 0.0485 / 0.0282 / 0.0000 vs alpha 0.10.","pass","done"
"B","2026-08-23","b2a0b1a","6b537db","main","MLflow experiment spine","One run per (policy, budget) in experiment controlplane-r2. Optional; inert without mlflow.","24 runs logged with params, metrics, artifacts.","pass","done"
"B","2026-08-23","8a65f06","b2a0b1a","main","Fix cascade bookkeeping","A Tier 2 check that already ran could be reported as skipped by the second allocation pass.","Budget-shock floor coverage corrected from 0.982 to 1.000.","pass","done"
"B","2026-08-23","18cb420","8a65f06","main","Drive the eval through the shipped allocator","Deleted the shadow economic_allocator knapsack. Allocator now streams the test set with BudgetController live. Rewrote escaped_harm_rate, audit_coverage and latency metrics.","escaped_harm_rate split into unchecked (bound-governed) and effective (business-facing). audit_coverage now read from the verified ledger. Latency now measured, not min(900,12).","pass","done"
"B","2026-08-23","8751423","18cb420","main","Scenarios on held-out data","Removed hardcoded shadow_price=10000/1500, seeded beta-binomial prior, and the two-window budget-shock comparison. Scenario tests split one per scenario.","Budget shock now a counterfactual on identical traffic: lambda 7.5 -> 30.9, high-consequence spend share 0.64 -> 0.82, floor coverage 1.0.","23 pass","done"
"B","2026-08-23","7f61aef","8751423","main","Report the corrected result","README and LIMITATIONS rewritten to lead with the weaker, honest finding.","Allocator averts more at 6/6 budgets but by 0.3-5.8%; loses ROI at the two tightest budgets. Round 1 dominance not supported.","23 pass","done"
"B","2026-08-23","aca65ca","7f61aef","main","Stabilise committed artifacts","Rounded stub latency so wall-clock jitter stops rewriting results every run. Added HANDOFF.md.","docs/results/ now byte-stable across repeated runs.","23 pass","done"
